Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Training Stress Score®,Medelkraft,Maxkraft,Intensitet,Flöde,Totalt antal årtag,Medel-Swolf,Medelårtagstempo,Totalt antal repetitioner,Dyktid,Minsta temperatur,Ytintervall,Dekompression,Bästa varvtid,Antal varv,Maximal temperatur,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Stressändring,Start för stress,Slut för stress,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2024-03-10 11:18:57,false,"Lund Löpning","15.10","995","01:21:34","144","160","170","178","5:24","4:04","89","90","1.09","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:21:33.89","1","0.0","--","--","--","--","--","--","--","--","01:21:28","01:21:34","46","104"
Konditionspass,2024-03-09 15:30:03,false,"Cardio","0.00","565","00:55:54","137","175","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","55:54.45","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:54","--","--"
Inomhuscykling,2024-03-09 12:45:02,false,"Inomhuscykling","82.00","1,405","02:21:03","143","172","--","--","34.9","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:21:03.33","1","0.0","--","--","--","--","--","--","--","--","00:00:00","02:21:03","--","--"
Cykling,2024-03-07 17:23:46,false,"Lund Cykling","32.19","524","01:19:25","118","144","--","--","24.3","38.6","117","114","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","07:39.88","7","0.0","--","--","--","--","--","--","--","--","01:19:12","01:19:25","14","79"
Inomhuscykling,2024-03-06 16:46:03,false,"SpinningWatt","45.50","776","01:24:59","130","162","--","--","32.1","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:24:59.44","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:24:59","--","--"
Löpning,2024-03-05 18:02:29,false,"Lund Löpning","6.89","532","00:54:54","129","165","116","244","7:58","2:22","24","23","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:13.65","24","0.0","--","--","--","--","--","--","--","--","00:37:03","00:54:54","38","73"
Konditionspass,2024-03-05 17:10:02,false,"Cardio","0.00","273","00:37:56","115","139","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","37:56.17","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:37:56","--","--"
Konditionspass,2024-03-04 18:15:07,false,"CardioCross","0.00","597","00:55:23","142","177","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","55:23.24","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:23","--","--"
Löpning,2024-03-04 16:35:40,false,"Lund - Norska intervaller","6.37","450","00:36:01","145","170","138","238","5:39","3:09","45","47","1.21","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:19.03","11","0.0","--","--","--","--","--","--","--","--","00:30:27","00:36:01","44","73"
Inomhuscykling,2024-03-03 07:57:27,false,"Inomhuscykling","127.00","1,811","04:27:43","125","158","--","--","28.5","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","04:27:43.26","1","0.0","--","--","--","--","--","--","--","--","00:00:00","04:27:43","--","--"
Löpning,2024-03-02 13:45:36,false,"Lund Löpning","9.06","584","00:49:18","139","160","165","173","5:27","4:06","37","38","1.11","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:14.10","10","0.0","--","--","--","--","--","--","--","--","00:49:07","00:49:18","52","77"
Längdskidåkning klassisk stil,2024-02-25 07:30:06,false,"Vasaloppet","91.63","3,366","08:51:55","123","162","65","244","10.3","33.0","552","775","2.67","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","08:51:54.65","1","0.0","--","--","--","--","--","--","--","--","08:08:25","08:51:55","163","522"
Styrketräning,2024-02-20 17:23:36,false,"Gym","0.00","364","00:59:09","110","140","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","59:09.46","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:59:09","--","--"
Konditionspass,2024-02-19 18:15:02,false,"CardioCross ","0.00","573","00:55:04","137","164","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","55:04.41","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:04","--","--"
Inomhuscykling,2024-02-18 10:44:02,false,"Inomhuscykling","66.70","1,006","02:00:03","134","164","--","--","33.3","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:00:03.30","1","0.0","--","--","--","--","--","--","--","--","00:00:00","02:01:11","--","--"
Annan,2024-02-17 10:29:18,false,"Rullskidor ","45.10","1,195","04:12:26","103","134","71","173","10.7","23.4","238","238","2.52","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","04:12:26.22","1","0.0","--","--","--","--","--","--","--","--","03:42:34","04:12:26","24","112"
Styrketräning,2024-02-16 17:05:38,false,"Gym","0.00","235","00:40:57","106","126","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","40:57.04","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:40:57","--","--"
Löpning,2024-02-15 16:57:25,false,"Lund Löpning","9.59","597","00:49:37","141","161","167","177","5:10","3:33","38","40","1.15","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","03:18.77","10","0.0","--","--","--","--","--","--","--","--","00:49:17","00:49:37","55","75"
Styrketräning,2024-02-13 17:40:40,false,"Gym","0.00","324","00:45:16","116","151","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","45:16.07","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:45:16","--","--"
Inomhuscykling,2024-02-13 16:30:23,false,"Inomhuscykling","29.00","545","00:48:44","140","168","--","--","35.7","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","48:43.70","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:48:44","--","--"
Konditionspass,2024-02-12 18:14:51,false,"CardioCross ","0.00","521","00:54:40","134","162","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","54:39.96","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:54:40","--","--"
Löpband,2024-02-12 17:39:57,false,"Löpband","3.83","256","00:21:21","145","167","161","188","5:35","3:45","--","--","1.12","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","03:59.85","4","0.0","--","--","--","--","--","--","--","--","00:20:58","00:21:21","--","--"
Annan,2024-02-11 10:22:23,false,"Rullskidor ","45.19","1,291","04:29:53","102","131","69","182","10.0","25.5","206","207","2.42","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","04:29:52.64","1","0.0","--","--","--","--","--","--","--","--","04:03:13","04:29:53","20","93"
Inomhuscykling,2024-02-10 11:35:43,false,"Inomhuscykling","62.50","905","02:00:03","126","155","--","--","31.2","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:00:02.75","1","0.0","--","--","--","--","--","--","--","--","00:00:00","02:01:07","--","--"
Konditionspass,2024-02-09 16:59:56,false,"CardioCross ","0.00","329","00:46:20","118","160","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","46:19.64","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:46:20","--","--"
Löpning,2024-02-08 16:32:03,false,"Lund Löpning","9.13","581","00:42:59","159","182","170","177","4:42","3:42","57","56","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:42.70","10","0.0","--","--","--","--","--","--","--","--","00:42:49","00:43:18","59","88"
Simbassäng,2024-02-07 17:19:35,false,"Simbassäng","1,700","320","00:45:26","117","140","--","--","2:11","1:18","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","900","46","24","0","0:00","0.0","0:00","Nej","00:06.12","34","0.0","--","--","--","--","--","--","--","--","00:37:00","00:45:58","--","--"
Styrketräning,2024-02-06 17:35:02,false,"Gym","0.00","404","00:51:58","121","150","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","51:58.03","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:51:58","--","--"
Inomhuscykling,2024-02-06 16:26:08,false,"Inomhuscykling","31.50","633","01:01:34","138","169","--","--","30.7","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:01:34.06","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:01:34","--","--"
Annan,2024-02-05 16:53:35,false,"Rullskidor ","25.85","861","02:11:33","121","156","74","194","11.8","23.4","121","124","2.66","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:11:33.22","1","0.0","--","--","--","--","--","--","--","--","02:06:52","02:11:33","28","105"
Inomhuscykling,2024-02-04 10:54:37,false,"Inomhuscykling","52.50","851","01:30:15","138","169","--","--","34.9","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:30:15.09","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:33:13","--","--"
Konditionspass,2024-02-03 15:13:25,false,"SkiErg","0.00","319","00:29:12","138","155","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","29:11.56","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:29:12","--","--"
Styrketräning,2024-02-03 14:11:39,false,"Gym","0.00","428","01:01:29","119","154","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:01:28.82","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:01:29","--","--"
Längdskidåkning fristil,2024-02-02 16:24:12,false,"Rullskidor ","20.37","618","01:32:52","121","164","--","--","13.2","22.9","121","120","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:00.62","10","0.0","--","--","--","--","--","--","--","--","01:31:14","01:41:38","35","97"
