Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Training Stress Score®,Medelkraft,Maxkraft,Intensitet,Flöde,Totalt antal årtag,Medel-Swolf,Medelårtagstempo,Totalt antal repetitioner,Dyktid,Minsta temperatur,Ytintervall,Dekompression,Bästa varvtid,Antal varv,Maximal temperatur,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Stressändring,Start för stress,Slut för stress,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Inomhuscykling,2024-01-10 10:11:39,false,"Inomhuscykling","0.00","432","00:45:06","130","150","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","45:05.54","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:45:06","--","--"
Styrketräning,2024-01-09 17:37:23,false,"Gym","0.00","428","01:00:01","120","161","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:00:01.43","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:00:01","--","--"
Löpband,2024-01-09 17:03:37,false,"Löpband","5.80","356","00:32:28","140","167","151","249","5:36","3:41","--","--","1.14","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:50.13","6","0.0","--","--","--","--","--","--","--","--","00:31:15","00:32:28","--","--"
Konditionspass,2024-01-08 18:15:06,false,"Cardio","0.00","557","00:57:15","135","167","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","57:14.78","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:57:15","--","--"
Konditionspass,2024-01-08 10:45:10,false,"SkiErg","0.00","150","00:14:03","134","155","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","14:03.10","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:14:03","--","--"
Inomhuscykling,2024-01-08 09:23:19,false,"Inomhuscykling","0.00","509","01:00:06","126","146","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:00:05.67","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:00:06","--","--"
Styrketräning,2024-01-07 18:11:17,false,"Magträning","0.00","243","00:31:42","126","180","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","31:42.18","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:31:42","--","--"
Annan,2024-01-07 11:52:51,false,"Längdskidor","14.90","850","01:57:19","125","160","43","238","7.6","25.2","206","200","2.98","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:57:18.93","1","0.0","--","--","--","--","--","--","--","--","01:39:30","02:15:41","142","177"
Styrketräning,2024-01-06 11:02:31,false,"Gym","0.00","411","00:51:19","124","149","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","51:19.48","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:51:19","--","--"
Löpband,2024-01-06 10:22:11,false,"Löpband","5.42","346","00:31:24","140","169","151","243","5:48","3:45","--","--","1.12","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:09.90","6","0.0","--","--","--","--","--","--","--","--","00:29:19","00:31:24","--","--"
Yoga,2024-01-05 13:07:49,false,"Yoga","--","89","00:34:41","79","108","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","34:41.42","1","0.0","19","12","24","52","34","86","71","98","00:00:00","00:34:41","--","--"
Simbassäng,2024-01-03 16:30:46,false,"Simbassäng","1,500","483","00:54:29","121","156","--","--","2:10","0:22","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","742","63","23","0","0:00","0.0","0:00","Nej","00:03.07","51","0.0","--","--","--","--","--","--","--","--","00:32:28","00:57:39","--","--"
Konditionspass,2024-01-03 14:20:27,false,"SkiErg","0.00","372","00:30:03","146","158","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","30:03.33","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:30:03","--","--"
Löpband,2024-01-03 13:40:14,false,"Löpband","6.00","361","00:30:35","141","164","166","233","5:06","3:55","--","--","1.18","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:02.88","7","0.0","--","--","--","--","--","--","--","--","00:30:13","00:34:31","--","--"
Styrketräning,2024-01-02 18:13:53,false,"Gym","0.00","389","00:55:49","118","140","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","55:49.24","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:49","--","--"
Löpband,2024-01-02 17:35:39,false,"Löpband","5.00","306","00:27:21","138","166","162","195","5:28","3:22","--","--","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:35.10","6","0.0","--","--","--","--","--","--","--","--","00:26:11","00:27:21","--","--"
Löpning,2023-12-31 10:47:26,false,"Intervaller","13.23","826","01:09:44","148","178","155","248","5:16","2:31","43","45","1.19","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:05.96","31","0.0","--","--","--","--","--","--","--","--","01:08:49","01:09:44","54","75"
Styrketräning,2023-12-30 11:35:04,false,"Gym","0.00","449","01:12:20","115","154","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:12:19.86","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:12:20","--","--"
Konditionspass,2023-12-29 15:59:42,false,"CardioCross ","0.00","552","00:54:53","137","163","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","54:52.52","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:54:53","--","--"
Inomhuscykling,2023-12-29 11:41:16,false,"Inomhuscykling","0.00","329","00:30:20","134","162","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","30:19.89","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:30:20","--","--"
Konditionspass,2023-12-29 10:59:48,false,"SkiErg","0.00","335","00:31:03","136","153","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","31:02.72","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:31:03","--","--"
Löpband,2023-12-29 10:22:40,false,"Löpband","6.28","380","00:30:49","145","167","166","270","4:54","3:27","--","--","1.21","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:06.72","7","0.0","--","--","--","--","--","--","--","--","00:30:14","00:30:49","--","--"
Styrketräning,2023-12-28 15:45:47,false,"Gym","0.00","474","01:09:24","118","151","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:09:23.73","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:09:24","--","--"
Löpband,2023-12-28 15:22:31,false,"Löpband","4.21","272","00:20:11","154","167","170","249","4:48","3:32","--","--","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:16.39","5","0.0","--","--","--","--","--","--","--","--","00:20:11","00:20:11","--","--"
Annan,2023-12-27 11:14:08,false,"Rullskidor","31.08","1,063","02:54:04","119","155","68","179","10.7","23.5","157","155","2.63","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:54:03.76","1","0.0","--","--","--","--","--","--","--","--","02:37:38","02:54:04","20","90"
Styrketräning,2023-12-26 10:43:07,false,"Gym","0.00","399","00:54:55","121","164","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","54:55.45","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:54:55","--","--"
Annan,2023-12-25 10:49:56,false,"Rullskidor","26.18","1,165","02:31:32","135","159","67","186","10.4","21.3","143","145","2.59","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:31:31.55","1","0.0","--","--","--","--","--","--","--","--","02:22:31","02:31:32","28","105"
Konditionspass,2023-12-24 10:05:46,false,"Julgympa","0.00","551","01:08:21","125","159","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:08:20.82","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:08:21","--","--"
Konditionspass,2023-12-23 09:59:15,false,"Julgympa","0.00","515","00:51:15","136","167","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","51:15.42","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:51:15","--","--"
Konditionspass,2023-12-22 15:50:07,false,"CardioCross ","0.00","463","00:55:59","128","167","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:43.27","6","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:59","--","--"
Konditionspass,2023-12-22 12:54:32,false,"Cardio","0.00","219","00:28:47","119","149","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","28:47.11","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:28:47","--","--"
Inomhuscykling,2023-12-22 12:02:52,false,"Virtuell the Trip","0.00","350","00:38:27","128","150","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","38:27.12","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:38:27","--","--"
Styrketräning,2023-12-21 18:02:45,false,"Gym","0.00","349","00:52:32","115","141","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","52:31.64","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:52:32","--","--"
Inomhuscykling,2023-12-21 16:55:09,false,"Spinning 2 jultema","0.00","444","00:51:36","126","160","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","51:36.45","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:51:36","--","--"
Konditionspass,2023-12-21 10:26:25,false,"SkiErg + Mage","0.00","367","00:41:52","128","158","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","41:51.80","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:41:52","--","--"
Inomhuscykling,2023-12-21 09:39:48,false,"Virtuell The Trip","0.00","354","00:32:44","138","161","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","32:44.20","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:32:44","--","--"
Styrketräning,2023-12-20 15:21:03,false,"Gym","0.00","317","00:52:41","111","148","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","52:41.24","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:52:41","--","--"
Styrketräning,2023-12-19 17:45:13,false,"Gym","0.00","433","00:58:05","123","155","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","58:04.70","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:58:05","--","--"
Löpband,2023-12-19 17:11:13,false,"Löpband","6.25","377","00:30:19","148","173","168","195","4:51","3:21","--","--","1.21","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:03.04","7","0.0","--","--","--","--","--","--","--","--","00:29:47","00:30:19","--","--"
Inomhuscykling,2023-12-19 10:43:25,false,"Spinning HIT","0.00","383","00:42:35","127","163","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","42:35.16","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:42:35","--","--"
Konditionspass,2023-12-18 18:15:12,false,"CardioCross ","0.00","585","00:55:42","141","170","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:41.54","8","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:42","--","--"
Annan,2023-12-18 10:00:46,false,"Rullskidor","26.24","780","02:21:07","113","140","70","229","11.2","18.6","142","144","2.67","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:21:06.52","1","0.0","--","--","--","--","--","--","--","--","02:14:49","02:21:07","28","105"
Konditionspass,2023-12-17 11:18:26,false,"Gym","0.00","429","01:05:11","116","140","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:05:10.58","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:05:11","--","--"
Konditionspass,2023-12-15 17:00:31,false,"CardioCross ","0.00","579","00:56:26","137","167","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:54.87","9","0.0","--","--","--","--","--","--","--","--","00:00:00","00:56:26","--","--"
Konditionspass,2023-12-15 11:15:53,false,"Blandad konditionsträning på gymmet","0.00","355","00:36:32","130","157","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","36:32.35","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:36:32","--","--"
Löpning,2023-12-14 18:03:31,false,"Gerdahallen Winter Running","10.23","707","01:06:20","134","162","144","245","6:29","1:38","71","71","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:06.15","11","0.0","--","--","--","--","--","--","--","--","00:55:33","01:06:20","19","70"
Annan,2023-12-14 09:21:09,false,"Rullskidor","25.75","694","02:22:49","102","128","65","232","10.8","19.5","139","140","2.76","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:22:48.95","1","0.0","--","--","--","--","--","--","--","--","02:12:54","02:22:49","28","105"
Konditionspass,2023-12-13 14:07:17,false,"SkiErg + Gym","0.00","406","00:56:56","119","146","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","56:55.87","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:56:56","--","--"
Inomhuscykling,2023-12-13 10:17:29,false,"Inomhuscykling","0.00","741","01:30:13","128","151","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:30:12.64","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:30:13","--","--"
Konditionspass,2023-12-12 18:03:08,false,"Gym","0.00","389","00:47:45","124","147","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","47:45.11","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:47:45","--","--"
Löpband,2023-12-12 17:31:37,false,"Löpband","6.10","384","00:30:04","149","181","167","246","4:56","3:21","--","--","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:27.12","7","0.0","--","--","--","--","--","--","--","--","00:29:26","00:30:04","--","--"
Inomhuscykling,2023-12-12 14:48:16,false,"Virtuell the Trip","21.80","511","00:45:03","139","162","--","--","29.0","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","45:02.52","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:45:03","--","--"
Annan,2023-12-12 09:08:25,false,"Rullskidor ","22.71","777","02:06:15","117","137","63","147","10.8","20.8","122","123","2.85","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:06:15.04","1","0.0","--","--","--","--","--","--","--","--","01:54:24","02:06:15","32","105"
Konditionspass,2023-12-11 18:14:50,false,"CardioCross ","0.00","506","00:55:45","130","165","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","55:45.25","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:45","--","--"
Annan,2023-12-10 09:03:49,false,"Längdskidor","16.86","957","02:21:54","122","153","59","233","7.1","35.3","268","261","2.32","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:00:43.18","2","0.0","--","--","--","--","--","--","--","--","01:53:30","02:21:54","677","927"
Annan,2023-12-09 16:01:10,false,"Längdskidor tävling","3.72","213","00:18:07","138","158","89","163","12.3","30.6","54","56","2.31","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","18:06.82","1","0.0","--","--","--","--","--","--","--","--","00:18:06","00:18:07","671","706"
Annan,2023-12-09 14:07:00,false,"Längdskidor","7.62","613","01:36:25","115","154","29","229","4.7","28.9","83","81","2.73","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:36:24.56","1","0.0","--","--","--","--","--","--","--","--","00:51:45","01:36:25","674","706"
Annan,2023-12-09 09:33:16,false,"Längdskidor","14.22","737","02:03:17","114","156","45","249","6.9","30.8","155","159","2.58","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:03:17.27","1","0.0","--","--","--","--","--","--","--","--","01:22:26","02:03:17","648","707"
Yoga,2023-12-09 06:55:54,false,"Yoga","--","95","00:40:36","74","109","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","40:35.75","1","0.0","18","12","24","-44","65","21","50","97","00:00:00","00:40:36","--","--"
Annan,2023-12-08 14:09:53,false,"Längdskidor ","17.85","1,086","02:08:31","134","161","53","249","8.3","29.6","378","382","2.64","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:08:30.50","1","0.0","--","--","--","--","--","--","--","--","01:39:57","02:08:31","674","816"
Annan,2023-12-08 08:59:59,false,"Längdskidor Teknikträning","7.88","779","02:06:05","115","150","24","235","3.7","36.6","19","21","2.62","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","02:06:04.93","1","0.0","--","--","--","--","--","--","--","--","00:57:46","02:06:05","673","689"
Annan,2023-12-07 14:07:59,false,"Längdskidor Teknikträning","8.43","546","01:21:57","117","148","35","247","6.2","28.1","105","105","2.96","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:21:56.71","1","0.0","--","--","--","--","--","--","--","--","00:58:22","01:21:57","673","706"
Annan,2023-12-07 11:36:34,false,"Längdskidor ","3.24","213","00:25:21","121","147","33","186","7.7","28.2","59","59","3.91","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","25:21.41","1","0.0","--","--","--","--","--","--","--","--","00:19:57","00:25:21","674","707"
Konditionspass,2023-12-05 17:50:32,false,"Gym","0.00","429","00:53:56","123","151","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","53:55.75","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:53:56","--","--"
Löpband,2023-12-05 17:15:04,false,"Löpband","6.31","392","00:30:11","151","188","165","249","4:47","3:07","--","--","1.22","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:26.39","7","0.0","--","--","--","--","--","--","--","--","00:29:21","00:30:11","--","--"
Konditionspass,2023-12-05 11:35:04,false,"SkiErg","0.00","382","00:43:30","127","150","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","43:30.41","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:43:43","--","--"
Konditionspass,2023-12-04 18:15:06,false,"CardioCross ","0.00","571","00:56:28","137","166","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","56:28.48","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:56:28","--","--"
Konditionspass,2023-12-04 12:44:19,false,"Gym (58 min)","0.00","103","00:14:58","109","127","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","14:57.74","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:14:58","--","--"
Konditionspass,2023-12-04 11:37:01,false,"SkiErg","0.00","171","00:20:04","120","137","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","20:04.23","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:20:04","--","--"
Simbassäng,2023-12-03 17:34:25,false,"Simträning med triathlon syd ","1,500","302","01:00:24","119","151","--","--","2:23","0:54","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","748","48","21","0","0:00","0.0","0:00","Nej","00:05.06","79","0.0","--","--","--","--","--","--","--","--","00:35:43","01:04:35","--","--"
Annan,2023-12-03 11:20:43,false,"Längdskidor","8.09","560","01:06:40","126","164","31","177","7.3","21.4","60","59","3.94","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:06:40.16","1","0.0","--","--","--","--","--","--","--","--","00:50:09","01:06:40","64","87"
Konditionspass,2023-12-01 17:00:32,false,"Gym","0.00","593","00:57:23","138","169","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:39.53","5","0.0","--","--","--","--","--","--","--","--","00:00:00","00:58:00","--","--"
Annan,2023-12-01 09:35:38,false,"Längdskidor","9.01","468","01:06:47","118","144","43","249","8.1","21.9","75","78","3.12","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:06:46.56","1","0.0","--","--","--","--","--","--","--","--","00:56:25","01:15:36","63","87"
Annan,2023-11-30 18:04:48,false,"Längdskidor","8.70","731","01:41:32","125","163","33","238","5.1","21.4","69","69","2.56","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:41:32.12","1","0.0","--","--","--","--","--","--","--","--","01:07:59","01:41:32","64","87"
Konditionspass,2023-11-30 11:14:29,false,"Gym","0.00","430","00:57:52","121","159","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","57:52.29","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:57:52","--","--"
Konditionspass,2023-11-28 18:48:57,false,"Gym","0.00","401","00:50:14","123","151","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","50:14.36","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:50:14","--","--"
Löpband,2023-11-28 18:14:14,false,"Löpband","6.31","396","00:30:24","149","175","171","189","4:49","4:11","--","--","1.13","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","04:06.71","6","0.0","--","--","--","--","--","--","--","--","00:29:57","00:30:24","--","--"
Inomhuscykling,2023-11-28 08:31:47,false,"Spinning FTP Test","0.00","451","00:44:19","132","159","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","44:19.41","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:44:19","--","--"
Konditionspass,2023-11-27 18:15:02,false,"CardioCross ","0.00","641","00:55:21","145","170","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","55:21.42","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:21","--","--"
Annan,2023-11-27 14:32:04,false,"Rullskidor ","10.98","553","01:01:34","127","155","13","157","10.7","20.3","99","103","13.35","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:01:33.81","1","0.0","--","--","--","--","--","--","--","--","00:59:50","01:01:34","24","73"
Simbassäng,2023-11-26 17:35:58,false,"Simträning med triathlon syd ","800","156","00:45:32","112","152","--","--","2:36","0:50","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","453","53","22","0","0:00","0.0","0:00","Nej","00:12.50","34","0.0","--","--","--","--","--","--","--","--","00:20:50","00:45:37","--","--"
Annan,2023-11-26 08:33:31,false,"Rullskidor nybörjarträning med ski team Skåne","31.46","758","03:47:38","85","120","20","194","8.3","21.0","163","164","8.72","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","10:43.89","5","0.0","--","--","--","--","--","--","--","--","02:50:58","03:47:38","28","105"
Konditionspass,2023-11-25 11:17:40,false,"Gym","0.00","478","01:04:29","124","170","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:04:29.19","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:04:29","--","--"
Konditionspass,2023-11-24 17:00:18,false,"CardioCross","0.00","447","00:56:55","124","160","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","56:55.13","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:56:55","--","--"
Konditionspass,2023-11-24 16:17:34,false,"Olika cardio på gymmet","0.00","294","00:28:57","133","153","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","28:56.91","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:28:57","--","--"
